code	value
03_01	32.377485
03_02	35.0576535
03_03	29.993289
03_04	35.3389315
03_05	35.4801745
03_06	33.690858
03_07	29.4692225
03_10	31.399161
03_11	37.241544
03_12	32.702447
03_13	32.7505095
03_14	40.077354
03_15	34.6538975
03_16	31.2015005
03_17	30.2678915
03_18	29.4532815
03_19	24.0352095
03_20	28.4311085
03_21	28.200504
03_22	29.330718
03_24	32.9654845
03_25	35.262241
03_26	29.7522755
03_28	27.1257385
03_29	35.114869
03_30	30.4861225
01_03	34.8761
01_05	35.9703685
01_06	34.462393
01_07	31.853151
01_09	33.856531
01_10	40.7634865
01_11	32.6532135
01_13	32.4479505
01_14	36.394746
01_15	34.432514
01_16	38.488971
01_17	33.6872665
01_19	31.95235
01_23	39.3721165
01_24	31.221919
01_25	32.362793
01_27	32.1130875
01_28	31.166838
01_29	38.734348
